Source,Year,Mean,Date,Month,Season,Mean_Normalized
gcag,1864-03,-0.4994,1864-03-01,3,Summer,0.21604816032318108
gcag,1864-04,-0.5436,1864-04-01,4,Summer,0.19854251653530833
gcag,1864-05,-0.3238,1864-05-01,5,Summer,0.28559546912749023
gcag,1864-06,-0.1125,1864-06-01,6,Monsoon,0.36928195176046574
gcag,1864-07,-0.2596,1864-07-01,7,Monsoon,0.31102221870173075
gcag,1864-08,-0.3079,1864-08-01,8,Monsoon,0.29189274822765254
gcag,1864-09,-0.4425,1864-09-01,9,Post-Monsoon,0.23858370628539743
gcag,1864-10,-0.6029,1864-10-01,10,Post-Monsoon,0.17505643787872788
gcag,1864-11,-0.4562,1864-11-01,11,Post-Monsoon,0.23315774882173554
gcag,1864-12,-0.5903,1864-12-01,12,Winter,0.18004673452413955
gcag,1865-01,-0.1761,1865-01-01,1,Winter,0.3440928353598162
gcag,1865-02,-0.4667,1865-02-01,2,Winter,0.22899916828389244
gcag,1865-03,-0.6612,1865-03-01,3,Summer,0.15196641451146578
gcag,1865-04,-0.4482,1865-04-01,4,Summer,0.23632619113628264
gcag,1865-05,-0.3775,1865-05-01,5,Summer,0.26432730009109273
gcag,1865-06,-0.1952,1865-06-01,6,Monsoon,0.336528179333835
gcag,1865-07,-0.2152,1865-07-01,7,Monsoon,0.3286070735474672
gcag,1865-08,-0.2118,1865-08-01,8,Monsoon,0.32995366153114974
gcag,1865-09,-0.1709,1865-09-01,9,Post-Monsoon,0.34615232286427183
gcag,1865-10,-0.2694,1865-10-01,10,Post-Monsoon,0.30714087686641056
gcag,1865-11,-0.3371,1865-11-01,11,Post-Monsoon,0.28032793377955567
gcag,1865-12,-0.4606,1865-12-01,12,Winter,0.2314151055487346
gcag,1866-01,-0.1321,1866-01-01,1,Winter,0.3615192680898254
gcag,1866-02,-0.4011,1866-02-01,2,Winter,0.2549803952631787
gcag,1866-03,-0.6822,1866-03-01,3,Summer,0.1436492534357796
gcag,1866-04,-0.4544,1866-04-01,4,Summer,0.23387064834250862
gcag,1866-05,-0.5728,1866-05-01,5,Summer,0.18697770208721137
gcag,1866-06,-0.0981,1866-06-01,6,Monsoon,0.3749851479266506
gcag,1866-07,-0.0083,1866-07-01,7,Monsoon,0.4105509129074419
gcag,1866-08,-0.2495,1866-08-01,8,Monsoon,0.31502237712384645
gcag,1866-09,-0.3778,1866-09-01,9,Post-Monsoon,0.2642084835042972
gcag,1866-10,-0.4206,1866-10-01,10,Post-Monsoon,0.24725731712147017
gcag,1866-11,-0.2983,1866-11-01,11,Post-Monsoon,0.2956948790051091
gcag,1866-12,-0.4004,1866-12-01,12,Winter,0.2552576339657016
gcag,1867-01,-0.4052,1867-01-01,1,Winter,0.25335656857697336
gcag,1867-02,-0.3536,1867-02-01,2,Winter,0.2737930215058022
gcag,1867-03,-0.6812,1867-03-01,3,Summer,0.144045308725098
gcag,1867-04,-0.4213,1867-04-01,4,Summer,0.24698007841894729
gcag,1867-05,-0.5748,1867-05-01,5,Summer,0.1861855915085746
gcag,1867-06,-0.3504,1867-06-01,6,Monsoon,0.27506039843162106
gcag,1867-07,-0.2528,1867-07-01,7,Monsoon,0.3137153946690958
gcag,1867-08,-0.3305,1867-08-01,8,Monsoon,0.282941898689057
gcag,1867-09,-0.1479,1867-09-01,9,Post-Monsoon,0.3552615945185948
gcag,1867-10,-0.1253,1867-10-01,10,Post-Monsoon,0.36421244405719044
gcag,1867-11,-0.1957,1867-11-01,11,Post-Monsoon,0.33633015168917585
gcag,1867-12,-0.4454,1867-12-01,12,Winter,0.2374351459463741
gcag,1868-01,-0.6849,1868-01-01,1,Winter,0.14257990415462
gcag,1868-02,-0.6933,1868-02-01,2,Winter,0.1392530397243455
gcag,1868-03,-0.3339,1868-03-01,3,Summer,0.28159531070537447
gcag,1868-04,-0.363,1868-04-01,4,Summer,0.2700701017862094
gcag,1868-05,-0.2855,1868-05-01,5,Summer,0.3007643867083845
gcag,1868-06,-0.2969,1868-06-01,6,Monsoon,0.2962493564101549
gcag,1868-07,-0.0596,1868-07-01,7,Monsoon,0.39023327656540857
gcag,1868-08,-0.1933,1868-08-01,8,Monsoon,0.33728068438354
gcag,1868-09,-0.3448,1868-09-01,9,Post-Monsoon,0.27727830805180403
gcag,1868-10,-0.2297,1868-10-01,10,Post-Monsoon,0.3228642718523506
gcag,1868-11,-0.4232,1868-11-01,11,Post-Monsoon,0.24622757336924234
gcag,1868-12,-0.314,1868-12-01,12,Winter,0.2894768109628104
gcag,1869-01,-0.3357,1869-01-01,1,Winter,0.2808824111846014
gcag,1869-02,0.1313,1869-02-01,2,Winter,0.465840231296289
gcag,1869-03,-0.626,1869-03-01,3,Summer,0.16590756069547308
gcag,1869-04,-0.4057,1869-04-01,4,Summer,0.25315854093231416
gcag,1869-05,-0.31,1869-05-01,5,Summer,0.29106103212008394
gcag,1869-06,-0.3845,1869-06-01,6,Monsoon,0.261554913065864
gcag,1869-07,-0.4171,1869-07-01,7,Monsoon,0.24864351063408452
gcag,1869-08,-0.1679,1869-08-01,8,Monsoon,0.34734048873222706
gcag,1869-09,-0.1716,1869-09-01,9,Post-Monsoon,0.345875084161749
gcag,1869-10,-0.2935,1869-10-01,10,Post-Monsoon,0.2975959443938374
gcag,1869-11,-0.2818,1869-11-01,11,Post-Monsoon,0.3022297912788625
gcag,1869-12,-0.5366,1869-12-01,12,Winter,0.20131490356053708
gcag,1870-01,-0.2111,1870-01-01,1,Winter,0.33023090023367263
gcag,1870-02,-0.4549,1870-02-01,2,Winter,0.2336726206978494
gcag,1870-03,-0.4983,1870-03-01,3,Summer,0.21648382114143136
gcag,1870-04,-0.3329,1870-04-01,4,Summer,0.2819913659946929
gcag,1870-05,-0.2977,1870-05-01,5,Summer,0.29593251217870015
gcag,1870-06,-0.2312,1870-06-01,6,Monsoon,0.32227018891837306
gcag,1870-07,-0.0734,1870-07-01,7,Monsoon,0.38476771357281475
gcag,1870-08,-0.2582,1870-08-01,8,Monsoon,0.3115766961067765
gcag,1870-09,-0.2023,1870-09-01,9,Post-Monsoon,0.33371618677967446
gcag,1870-10,-0.4429,1870-10-01,10,Post-Monsoon,0.23842528416967007
